dataset_id,profile,seed,target_fraction,solver,status,counterfactual_verified,protected_workflows_preserved,achieved_exposure_reduction,modeled_cost,changes,departments_affected,runtime_seconds,infeasible_or_timeout
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.8,min_cut,FEASIBLE,true,true,0.9835683556543755,29.883568,32,9,4.232047800999965,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.8,constraint_generation,FEASIBLE,true,true,0.6711305955341321,667.428544,247,10,123.24842558600005,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.9,degree_greedy,FEASIBLE,true,true,0.6983684975268005,123.52889,160,11,73.94157639700006,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.9,risk_greedy,FEASIBLE,true,true,0.7840027320481415,6.4221330000000005,10,4,0.4681205580000096,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.9,min_cut,FEASIBLE,true,true,0.9835683556543755,29.883568,32,9,4.053290552000021,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.9,constraint_generation,FEASIBLE,true,true,0.816730170542824,412.966589,177,10,123.22174490099997,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.95,degree_greedy,FEASIBLE,true,true,0.7631691417753298,1298.470108,819,11,453.981657765,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.95,risk_greedy,FEASIBLE,true,true,0.8749068681871053,8.672133,13,6,1.1000136489999477,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.95,min_cut,FEASIBLE,true,true,0.9835683556543755,29.883568,32,9,4.1100645879998865,false
seib-2026:global_hybrid:small:3681131:injected_mixed,global_hybrid,3681131,0.95,constraint_generation,FEASIBLE,true,true,0.7925913938340999,278.919545,106,10,123.31335184,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.5,degree_greedy,FEASIBLE,true,true,0.31187124795568066,1.724569,6,4,3.1227838570000017,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.5,risk_greedy,FEASIBLE,true,true,0.2931359450661375,0.658057,2,2,0.29104517299998633,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.5,min_cut,FEASIBLE,true,true,0.9840910017680613,15.360814,25,9,3.4738258799999926,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.5,constraint_generation,FEASIBLE,true,true,0.3486206961740149,215.465593,84,11,124.60041544399999,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.7,degree_greedy,FEASIBLE,true,true,0.44273814814595513,21.479909,33,11,15.15296364599999,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.7,risk_greedy,FEASIBLE,true,true,0.4939307212597246,1.902967,4,3,0.3358945520000134,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.7,min_cut,FEASIBLE,true,true,0.9840910017680613,15.360814,25,9,4.091853914000012,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.7,constraint_generation,FEASIBLE,true,true,0.5234389234010508,486.341361,183,11,124.27178871299998,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.8,degree_greedy,FEASIBLE,true,true,0.5482915870511816,31.934647000000002,49,11,22.240286564999963,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.8,risk_greedy,FEASIBLE,true,true,0.6596743071094788,3.402967,6,4,0.39933383900000763,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.8,min_cut,FEASIBLE,true,true,0.9840910017680613,15.360814,25,9,4.1534720090000405,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.8,constraint_generation,FEASIBLE,true,true,0.7054892296150582,728.611849,282,11,122.85043379499996,false
seib-2026:global_hybrid:small:4264387:injected_mixed,global_hybrid,4264387,0.9,degree_greedy,FEASIBLE,true,true,0.6803544800866388,200.031935,220,11,102.05733719800003,false
